name,id,type,last_price,holdings,holding_price,holding_earnings,total_value,percentage,annual_return,risk
招商双债增强债券(LOF)C,161716,fund,1.6056,3094.78,1.62,-44.56,4968.98,3.84%,3.73%,0.92%,
广发纳斯达克100ETF联接人民币(QDII)A,270042,fund,7.0135,682.5,6.59,289.04,4786.71,3.70%,21.43%,20.55%,
大成纳斯达克100ETF联接(QDII),000834,fund,5.4219,120.94,4.96,55.86,655.72,0.51%,20.11%,20.17%,
招商量化精选股票A,001917,fund,3.3555,10563.69,2.8636,5196.28,35446.46,27.39%,19.11%,23.99%,
招商优势企业混合A,217021,fund,5.8630,248.9,6.03,-41.57,1459.30,1.13%,16.67%,34.32%,
招商鑫诚短债A,016526,fund,1.0805,0,,0,0.00,0.00%,2.31%,0.18%,
招商招华纯债A,003448,fund,1.0508,33707.78,1.05,26.97,35420.14,27.37%,0.27%,3.92%,
招商中证500等权重指数增强A,009726,fund,1.5630,0,,0,0.00,0.00%,10.42%,21.78%,
招商北证50成份指数发起式A,017517,fund,1.6515,0,,0,0.00,0.00%,31.22%,46.03%,
深证成指,399001,stock,11799.97,0,,0,0.00,0.00%,3.44%,23.99%,
广发量化多因子混合,005225,fund,2.1698,2021.6299999999999,2.12,100.68,4386.53,3.39%,25.34%,28.03%,
沪深300,399300,stock,4225.95,0,,0,0.00,0.00%,4.52%,17.94%,
招商成长量化选股股票C,020902,fund,1.4589,0,,0,0.00,0.00%,39.64%,22.98%
招商纳斯达克100ETF发起式联接（QDII）C,019548,fund,1.3383,0,,0,0.00,0.00%,19.26%,20.28%
招商国证生物医药指数A,161726,fund,0.4466,0,,0,0.00,0.00%,-4.06%,27.89%
招商安瑞进取债券A,217018,fund,2.2328,2288.75,2.18,120.85,5110.32,3.95%,6.35%,16.90%
招商安本增利债券A,014775,fund,1.7770,2823.3599999999997,1.77,19.76,5017.11,3.88%,7.43%,7.62%
招商民安增益债券A,008475,fund,1.2957,3102.24,1.37,-230.50,4019.57,3.11%,6.79%,6.22%
招商享利增强债券A,013548,fund,1.0634,3764.24,1.06,12.80,4002.89,3.09%,2.93%,6.06%
招商信用增强债券A,217023,fund,1.1358,3525.2999999999997,1.13,20.45,4004.04,3.09%,2.44%,3.96%
招商中证有色金属矿业主题ETF,159690,fund,1.3349,0,,0,0.00,0.00%,13.34%,24.63%
广发上海金ETF联接A,008986,fund,1.6662,3002.98,1.67,-11.41,5003.57,3.87%,26.85%,12.91%
广发中证稀有金属ETF发起式联接A,019874,fund,1.3413,0,,0,0.00,0.00%,19.39%,29.16%
招商中证红利低波动100指数发起式A,020672,fund,1.1312,4427.13,1.13,5.31,5007.97,3.87%,9.77%,16.32%
招商恒生港股通高股息低波动ETF,520550,fund,1.2072,993.24,1.01,195.87,1199.04,0.93%,46.28%,17.98%
招商中证银行指数A,161723,fund,1.7291,2876.7000000000003,1.74,-31.36,4974.10,3.84%,22.96%,16.03%
招商中证畜牧养殖ETF联接A,014414,fund,0.8837,0,,0,0.00,0.00%,-2.97%,21.37%
招商中证机器人指数型发起式A,020481,fund,1.5067,0,,0,0.00,0.00%,37.50%,34.29%
招商中证半导体产业ETF发起式联接A,020464,fund,1.6345,0,,0,0.00,0.00%,43.71%,32.06%
招商科技创新混合A,008655,fund,1.5034,0,,0,0.00,0.00%,9.38%,30.58%
招商恒生港股通高股息低波动ETF发起式联接A,024029,fund,1.0068,3927.1099999999997,1.02,-51.84,3953.81,3.06%,5.45%,9.78%
